content,score
"sebenernya males ngasih bintang,.. main solo rank legend 4 orang yg 1 mythic, eeeee lawanya mythic 4orang legenya cuman 1 gmana nggak DEFEAD MULU?. ehhhh monton kalau ngasih lawan knp slalu nggak imbang? sinyal sering lag, dapet team noob lawanya OP mulu..ini kek judol slot aja , kita yg mati2an naikin level eeee yg nentuin menang kalah adminya, buat apa upgrade emblem kalau ujung2nya di BAN level kita????",1
"Moonton kenapa sih setiap perbatasan selalu dibikin kalah kenapa nggak seperti biasa saja, bayangkan dulu pas mau naik motif perbatasan dikasih tim yg rank nya legend 5 orang baru naik legen dibikin setim yang mau naik mitic, emang game aneh",1
Sangat buruk jaringan nya dan bug nya tolong pada pihak monton sistem tim ny kasi yg bener kada dpt plyer bot sangat merusak permainan bikin stres iya dpt plyer b0t,2
"Game nya aneh sekarang, jaringan bisa ilang ilang anjirr",1
Game nya gampang ngelag padahal sinyal bagus. Saya di perlakukan tidak adil setiap saya bermain rank kredit skor saya selalu menurun saya sebenarnya dah muak Ama ni game tapi tolong lah pihak moonton perbaiki game kikir mu ini sekian dari saya terima kasih,1
"Parah asli ini game, wifi lancar jaringannya masih aj ad lag dan bug. Bisa di cheat pula. Moonton moonton",1
Sering cresh atau frezh aneh- jaringan double wifi + data masih aja nge frame atau fresh-_-,1
Untuk semua orang yang ingin instal apk ini mikir ya banyak sistem yang kurang menyenangkan dan sangat tidak bagus gamenya karna banyak di rekayasa saja. #RIPDARKSISTEM,1
"Monton bisa bantu gak, ini gua tadi ketemu cheater lag parah padahal jaringan bagus, terus pas di reloag gak bisa masuk masuk",5
"Tolong dong monton buat naikin kredit skor nya tambahin jngan Bates 3 per hari saya yg hp nya tidak mendukung dikit""rilog kena afk smpe kredit skor gbisa main rank:)..KLO gabisa seengganya pas loading masuk di persentase nya jngan lama lama 1 persen aja hrs semenit nunggu:)...jdi MLS main",5
"Tolong di perbaiki tu pokeeee jan kebnykan bagi2 skin spontan sinyl ilang 130Ms biji doang, pdahal kuota 25Gb ram gede 8gb ha? Dasar game Buriqqqqq",1
Sistem sangat buruk.. Di berikan rekan tim yang bodoh. Lalu sinyal selalu buruk. Padahal internet normal. Jangan mau main ML lagi. Karena sistem sangat buruk dan game play sangat curang.,1
Tolong fong untuk moonton di perbaiki gamenya masih banyak yg pakai cheat nih masa lagi main tiba tiba jaringan 1 team pada down semua terus tiba tiba kalah hadeh berat,1
"Ini sekarang lagi main, tiba-tiba setim reconnecting semua, malah disuruh hubungin CS",3
"Game rusak, lagi maen rank tiba tiba ngfreeze. Restart ulang gamenya malah gabisa masuk.",1
Jangan mau main game ini memang di awalnya enak tapi makin lama timnya makin bodoh dan dark sistem terus match makingnya aneh kita myhtic bintang 13 malah ketemu imo gimana apakab itu adil udag top up nya mahal pulak,1
"matchmaking jelek, sering kali disatuin sama tim yang main nya super jelek, liat statistik kda jelek, seperti baru pertamakali main, bahkan gajarang ditemuin sama tim yang ranknya jauh dibawah sangat menggangu bagi player solo. perbaiki pemilihan tim!!,hapus sistem joki!!!",1
"Gajelas, tiap habis update jaringan naik turun! ,bikin ga nyaman bermain!",1
"Ada player yg cheat lag sinyal di rank mytic, pdhl pas main di brawl lancar bgt sinyal nya, tolong di perbaiki",4
"matchmaking ga adil, server ampas dikit² delay padahal jsringan bagus digame lain ping lancar perbaiki lagi, terimakasih",1
"Apalah ini moonton,sinyal makin lemot,server eror,match making asal asalan,tolong perbaiki",1
Perbanyak event koneksi internet lag gitu gk di perbaiki nurunin bintang aja kocakkkkk,1
"apalah lagi main server nya rusak, satu game ga bisa gerak , pas relog malah stuck di loading screen",1
Bisa ga sih ilangin orang trol cape losetereak emang kalian enak kalo di gituinmaumain 10 jam cuma dapet hikmahnya bisa gk sih mimin monton kasih apa ke kalo ada yang troll yang troll turunin apanya aja kaya bintangnya turunin lebih Buat moonton yang baik aku udh main lama jangan bikin aku kesel gara gara pemainnya kalo bisa dilakukan ak capek moonton hari hari main legend epik legend epik terus gitu mulu plis lah ikutin terus sama hanabi baru buildnya baru3 udh 2 hit cape banget baru 5 mnt jwb!,1
Game nya ga bagus di kasih tim yang ga seimbang mending main game HOK sangat di rekomendasikan main game HOK aja ini game ga pantes,1
"Game rusak game rusak masa masih ada chet sih anjir lah gue main mau ngupus malah ketemu chet anjir bet dah, mana chet nya yang ngeleg lagi. Tolong monton di perbaiki lagi ya,",1
"Gatau kenapa main pas malam sekitaran jam 10an, mesti ketemu tim yang ga jelas tapi tim lawannya kuat. Karna main jam 10an malam, alhasil dapetnya lose streak hadeh😪 Tolong diperbaiki sistem pemilihan player di rank.",1
Aga gila ini GM masa orang 10 semuah bilang login padal kartu berbeda tempat berbeda bukan sinyal yh tidak bagus aplikasi yh ajh yg tidak bagus mangkin ancur ini GM,1
Game paling buruk Ngasih musuh kaga ngotak Moonton kagak liat apa dari hasil rank Musuh gg semua dikasih uda 1 thn main susah naik level,1
"Sering ngestag sendiri nya kalau lagi war padahal jaringan baik, HP jg mendukung.",1
saya ingin mengusulkan ulasan saya tentang gem ini padahal aku dah mau naik mytik tapi kenapa selalu kasih tim bot tolong kasih tim yg skil mainnya seimbang lah jangan kasih tim yg mainnya kek worior nah lalu dikasih musuh yg kuat lagi kan jadi GK seimbang mainnya kek susah banget mainnya tolong kasih tim musuh sama tim sendiri yg seimbang lah moonton cukup sampai sini ulasan ku tentang gem ijin ya moonton mohon di perbaiki sistem tim nya ya moonton 🙏🙏🙏🙏,2
"game rusak matchmaking ngawur, benerin matchmaking buat player solo. skin mulu dipikirin duit duit",1
Apalah moonton sinyal tiba tiba lah sendiri padahal sinyal bagus,1
Enak main mobile legends bisa mbr siapapun mbr ke kesyha itu pro sekali bisa rato musuh nya sangat bot sekali semoga rek aku bisa main lagi bisa naik epik 1 semoga Kawan kita pro sekali,5
Saranku Moonton harus bikin ml itu lancar buat ram3 atau 4 dan juga update jangan terlalu sering karna itu sangat menguras kuota dan memori,5
Buang buang waktu main game di rank naik turun trus banyak di kasih tim gajelas kalo di perbaiki saya kasih bintang 4,1
"gajelas, game jelek ga bagus buat anak² padahal kemarin game nya perasaan bagus² aja bagus banget malah (lagi ws) eh kok hari ini kek jelek banget dah (LS) bodoamat gua ngambek ton",1
"Makin update bkn nya mkin berkualitas, mlah jdi nmbh lemot!!,dan satu lagi tolong lah monton ngasih tim yg sdikit ngotak tim musuh oke giliran tim sndri ke badut,dan satu lagi bisa²nya ada rnk yg gk setara bisa setim itu udh sering trjdi ribuan kali perbaiki keseimbangan nya jga lahhhh!",2
Mooton aku sudah capek bertemu matchmaking tidak seimbang dan tolong untuk player penjoki atau player baru diajarkan cara main mobile lengend(player baru) dan untuk penjoki tolong untuk mengajarkan player tersebut main mobile lengend karena saya capek ketemu player seperti itu dan tolong untuk matcmaking nya diseimbangkan plss tolong moonton,5
"Game taikkk temen gak da yang bener musuh gak seimbang,banyak bug game gak jelas",1
"Moontoon ngasih tim kga ngotak gw dikasih tim ampas mulu, tolong lah ngertiin player solo kasih tim bagusan dikit kek gausah yang jago kasih yang pengertian ke tim aja, stres kalo ngasih tim",1
"game ga jelas mending pindah ke hok aja!!!! alasan: sinyal kek binatang.. ga bisa di hindarin, banyak player ngecheat..dah sekian saran:pindah hok lebjh mantap semakin update kesini semakin kacau.... sistem luar nalar... masa main solo di temuin sama partyan glory... padahal saya masih bintang 12.... emng bner bener harus pindah ke HOK aja kayak abang saya... makasih untuk game nga moonton saya pamit",1
"Nerf kaja di mode magic chess, max mananya tingkatkan jadi 100 karna kalau cuma 75 ultimatenya terpakai terus tanpa jeda",5
"MLBB adalah game yang terseru,bahkan waktu aku kesepian aku akan memencet aplikasi ini agar aku terhibur,terimah kasih Moonton sudah membuat game menghibur seperti ini",5
"Gamenya gak bagus sering kendalanya di jaringan ,sedikit sedikit relog app buruk",1
"Tolong di perbaiki masalah sinyal, padahal wifi lancar banget tapi di buat main merah terus sinyal nya tolong segera di perbaiki",1
"Jaringan selalu buruk, mau kartu sim apapun selalu buruk tolong peng update tannya.",1
Lain kali kalo gua lagi main jangan di bawa balik lagi ke lobby kan gua lagi main mobile legends Bukan pou,1
"Makin Kesini Kebanyakan Update Data ML Buat Temen"" Hp Ram 2 Ga Bakal Bisa Main ini,,, Game Laggg Terus Hp Saya Ram 16 Tetep Lagg Bangett,,,hehehe!!! Pantas Kebanyakan Pindah Ke King Of Honor Jadi Penyebab nya ini Laggg Mulus Sekarang Mh,,, Tidak Seperti Yg Baru rilis!!!! #GameBurikkk",1
"Tiba tiba ga bisa login, load nya ngestuck terus padahal lagi ngepick, bahkan sudah relog dan restart hp juga tetap sama",1
"kenapa setiap main tim nya draksitem terus menerus, tolong dong pihak mobile legend jangan di pilih dong Player nya harusnya adil lah pembagian tim nya biar gw ga capek naikin rank, gw cape di trol trus, lu gatau ge setiap siang sampai malam main game ini cuman buat dpt 1 bintang doang itu juga kalah sama menang trus capek gw.",1
Game ini sangat mengasah insting.dan juga kecepatan tangan. Membutuhkan strategi yang kuat,5
"Semakin jago permainan lu semakin dapet temen tim tollol. Dari 4 temen di tim, masa gua yg gendong terus pake selena roam. Game rusak!!.",1
Sudah agak mendingan dari bagian keseimbangan dan grafik hanya saja masih ada bug jaringan yang dimana saat di tengah atau awal pertandingan itu ping nya menjadi merah padahal tidak ada ganguan jaringan sama sekali dan tidak ada cara lain selain rilog mohon kepada developer untuk menangani ini karena walaupun jarang muncul tapi sekalinya muncul sangat merugikan bagi para player/pemain karena tidak bisa berpartisipasi dalam tim dan mendapatkan afk karena saat rilog loading nya menjadi sangat lama,4
dapet tim selalu yg darksystem klo musuh gg semua gimana nih monoton tolong d seimbangin supaya lebih seru main nya,1
"Permainan ini sangat seru bisa bikin darah tinggi ,dan harus mempunyai kesabaran banyak kalo main emel saya sangat suka bermain game ini terutama pakai hero miya. MOONTON tolong aku kasih skin miya gratis🥺",5
"WEH MONTON BENERIN MLNYA LAH, gw lagi main malah ga bisa masuk, padahal udah play itu, tim gw ada 3 orang jadinya yang afk, katanya server lagi down, lu benerin ini, jangan didiemin monton, gw habis gacha pengen main rank buat ke imo malah ngebug kayak gitu, butuh bukti kalau bisa gw shere rekaman layarnya disini gw kirimin",3
"sistem macthmaking tidak seimbang, main solo 30 pertandingan masa terus kalah menang berulang, tim kaya bot dan musuh kaya proplayer, game settingan sampah layak dapat satu bintang",1
Jahat game nya selalu gasi musuh yang kuat dan gaada otak nya dan aplikasi nya Jagan berat berat ml gabisa kayak honor of king yang setuju kasi bintang 1 lah game ml ini,1
"Padahal aku mvp setelah beberapa saat aku jadi gold doang, dasar ga jelas. Pemainnya bot semua.",1
"Update ae mulu gajelas, jangan hanya karena game sebelah banyak skin baru² , ivent banyak , bug nya ga di fikirin. Percuma juga, banyak yg pindah ke game sebelah tuh karena jaringan ga jelas.",1
Tolong ini batas pertemanan nya kek mana padahal punyaku masih 20 tapi gk bisa nambah pertemanan lah kek mana moonton,3
Sinyal gua gak bisa stabil ngeleg terus sinyal gua tapi di game lain baik baik aja skrol sosmed lancar tapi pas main ngeleg mulu,1
"Pertama, Jujur saya merasa di rugikan apabila hampir naik rank selalu otomatis di satukan dengan team yang bodoh lalu rank saya menjdi merosot, kedua kenapa ketika saya terlalu sering bermain angka kemenangannya semakin sedikit, ketiga sinyal menjadi tidak stabil apabila saya hampir win streak padahal keadaan koneksi data seluler saya sangat baik ini secara otomatis murni di buat oleh moonton supaya saya kalah dan terakhir hilangkan dark sistem yang merugikan para good player.",5
"Game gak jelas, mau naik rank ke honor aja susah selalu dapat team dark sistem tolong di benerin match nya kolo gak bisa hapus aja nih game dari play store",1
Tolong buat game yang bagus dong masa gamenya bagus tim gamenya tolol sampai masih ada orang tolol gak mau gue main,1
"Ada bug event dazzling golden spin, untuk menu bagikan event sudah 3x lebih (terbaca 2/3) jadi tidak bisa klaim spin coinnya. Tolong diperbaiki",5
Game tau mau menang malah di ilang kan sinyal nya sengaja ada yang ngatur servernya.,1
Gamenya bagus tapi yah pls moonton jangan kasih dark system terus sedih loh kalau gitu terus padahal gamenya seru,5
Game jelek kalau bisa bintang 1 bintang satu buat game ini dikasih tim nya gam seimbang musuh jagi jago semua lah tim sendiri kagam bisa main jangan main game ini,1
Gamenya sangat seru tapi kadang dapet tim gak bener terus padahal rank :( bintang 4 dulu,4
Game ml bagus aku suka gameplaynya dan hero heronya menarik tapi Ku kasih bintang satu kenapa? 1. Masalah jaringan padahal sinyal bagus dipake downlod main game lain lancar giliran main ml jumping sinyalnya 2. Kalo solo Dapat tim toxic ngefeed gak mau kerjasama afk sedangkan musuh kompak banget Tolong yang lebih utama masalah jaringan tolong dibenahi,1
Game nya sangat mudah di mainkan untuk menghilangkan kesepian dan setres game ini cocok sekali player nya sangat ramah dan tidak toxic,5
Game nya bagus bgtt . Kata kakak ku ml itu bagus loh dek akhirnya ikutan deh seru bgt gak nyesel deh unduh yang suka bertarung ^ ^,5
Game ini luar biasa aja udah gak ada yg bisa jadi orang lain yg bisa jadi lebih baik dan dapat menyebabkan kematian,5
Game cukup seru tetapai membuat player cukup toxic karena musuh sangat pro danteman sangat nobb membuat menang 1 kali kalah 10 kali,5
Game tolol dikasih tim darksistem semua losestreak Mulu coba sekali kali kasih tim gak dark sistem kayak game sebelah udh skin nya bagus tim gak dark sistem lah ini udh skin mahal efeknya jelek tim darksistem 1/5 tolol,1
Hem bagus sih tapi grafik nya kurang kaya gimana gitu tolong lah moonton agak dibagusin,4
"cuma mau menanyakan perihal CS yg ada didalam game, apakah CS tersebut tidak berfungsi, banyak laporan yang saya tulis agar demi kenyamanan bermain, tetapi CS sepertinya tidak berfungsi, mohon diperbaiki kinerja CS terlebih dahulu demi kenyamanan player !!",1
"Lostrick sampe puluhan x apaan dapat tim kaya gitu terus MOONTON kadang kadang,bangke",1
ML B. B tolong jaringannya di perbaiki kalo ngeleg terus pas main jadi repot tidak stabil mending pindah ke honor of king lebih stabil jadi kalo kaya gini terus pasti pada pindah,3
"lawan selalu tidak seimbang, musuh selalu semuanya kompak dan jago, tapi kalau tim saya selalu ngetroll sama beban",1
"game nya rusak jaringan oadahal bagus ngelag baget, truss banyak bug, truss devoloper nya ngetroll player sendiri masa gw ngelag truss udh diturunin grafiknya masih aja tolong lah buat game yg niat!!!!",1
Menurutku game ini gak bagus kalo main lostreak teruss mending jangan main game ini dah banyak team boot dasar game mlbb gak pernah dikasih menang menangpun dua kali teruss kalah lima kali nyesel gua download game tapi game ini temanku semua download tolong di di pahami moonton,1
"Apaan dah katanya afk sesekali boleh, gw tadi afk karena ada urusan. Terus gw main di rank dan gw pun menang. Nah gw kan offline tuh pas login lagi mau ngerank malah gabisa hadehh kredit skor gw 100 afk sekali jadi 70 apaan dah ga jelas",1
Setelah update terbaru hp saya selalu mengalami freze saat pertengahan match dan langsung force close saat dilihat pemakaian ramnya sangat aneh seperti bug,2
"Menurut saya permainan ini sangat menyenangkan di saat waktu senggang. Namun, pihak developer sebaiknya mempertimbangkan kembali sistem penilaian war, dan hero-hero yang terkadang kemampuannya tidak efektif pada saat bertarung.",4
"Pembagian match making masih ngaco, apalagi tiap awal season, bener"" diluar nalar, bagi pihak developer mohon segera dibenahi, player solo semakin resah, makin kesini makin ga beres match making nya moonton",1
game nya baguss moonton tolong ada kan fitur tranfer bp dan hero,5
"dark sistem parah banget tim ga sesuai.kadang² jaringan bagus tapi tiba-tiba lag ,tolong sesuaikan sistem matchmaking kasih tim yang sesuai.",1
Game nya bagus tapi knp harus ada pelanggaran gitu dah emang apakah aku telah melanggar hukun pokoknya plis uptude biar g ada pelanggaran gitu lagi y maaf 👍🙏,3
Main solo RANK terlalu banyak DARK SISTEM.. Tolong di perbaikin jangan kalah sama game sebelah .. terimah kasih,1
"gajelas bett sering ngefreze di in game, padahal jaringan lancar hp juga bagus,game rusak game rusak",1
"tim nya dikasih yg gaseimbang mulu, losetreak trus dikasih, kagak pernah hoki dah pernah spin lebih dari 40 di spin sl ga dapet sl sama sekali mana dapet fragmen nya cuma dikit, game gajelas ngeleg pula yg bener dikit lah",1
"Sangat tidak seru selalu lag dapat tim asal asalan , bintang aku turun jdi 2 aja 🤔",2
Game sudah bagus dari grafik nya sangat bagus sayangnya jaringan dan tim nya tak adil jaringan nya kebanyakan bug warna hijau tapi leg kalau tim kebanyakan kemampuan yg sangat berbeda dan tim yg sangat sangat jelek 3 kali menang 7 kali kalah apakah itu adil,4
yah bagus sih tapi aku memiliki handphone kentang jaringannya nggak lancar dan mulus tolonglah permudah yang memiliki handphone kentang sepertiku 🙏,4
"tolong lah moonton saya kalau main lag Mulu masih pagi aja dah lag dan juga bug tim yang tidak seimbang saya solo rank ketemu tier yang di atas tier saya dan tim sendiri yang bot padahal saya sering top up tapi malah dapat tim lawan yang diatasnya harusnya yang seimbang, jadi tolong perbaiki sistemnya",1
"Game nya udah pas,postur game nya pas,tapi bagian tim maupun lawan di rank mobile lengens original maupun Adven ini tim lawan gak seimbang gitu,jadi saya sarankan monton jika tim maupun lawan tolong di imbangkan dan saya tunggu jawaban dari monton,itu saja dari saya.",4
"Jelek anj banyak dark sistem kalo masih banyak yang gak stabil tim dan musuh gw pindah ke HOK, belum juga di benerin dark sistemnya Ampe gw pensi ml ayolah muntun lebih baik player afk dari pada ngetroll tolol",1
"Game ngleg parah...macet2 tak menentu, tiba-tiba macet layar tiba-tiba jalan sendiri heronya.. sangat mengecewakan, Wi-Fi on padahal.",1
Makin kesini makin burik game jelek sinyal bagus tapi ping 300++,1
"Percuma main dapet tim yang beban Mulu sedangkan musuh jago² jadi GK mood buat main capek ngepush timnya malah asik sendiri, daripada main ml mending main ff walaupun dapet tim yang agak beban masih bisa diajak kerja sama sedangkan ml beda jauh",1
"Semenjak di update jaringan malah jadi ngeleg aneh bgt ,skin doang di banyakin tapi sinyal ga di perbaiki,tolong lah pihak monton perbaiki jaringan sinyal di dalem game nya setiap war ada lawan malah ngeleg jaringan pink tiba tiba jadi merah giliran mati jaringan pink jadi hijau ,tolong di Perbaiki jaringan sinyal nyaa..",2
"Game ini sangat bagus tidak seperti game ff burik,selain yang ngejek game ini tidak bisa main apa apa, monton gimana ini game nya kalok main kalah terus saya masih epic di kasih musuh legend terus game apa laini capek lostrak monton emang gampang naikin rank kalok bisa mainin punya saya game gak adil sok keras Monton lostrak terus capek gua masa lord musuh paling sakit lord tim gua sekarat dari Minion kan gak adil iyolah jangan gini terus pengen legend juga saya monton bukan cuma pengen legen",5
"Gamenya seru Tpi tolong lh,buat Player solo jgn dikasi kesulitan nya begitu Dikit""dikasih temen troll Bnyk dark system nya lagi Upgrade lagi lah,kalo MVP dri tim yg kalah bisa g kehilangan bintang Niat main buat ilangin pusing malah +pusing Naikin bintangnya nyampe stengah jam main Eh nuruninnya bentar bgt,dikasih tim egois.",3
"Kalo gk musuh nya jago tim nya bot, itu sihh yg buat player sekarang males main",1
"dev nya kebanyakan ngurus event dkk, tapi sistemnya ga keurus contoh nya ya pas darft pick musuh sama temen itu beda jauh, jadi pas in game kerasa berat belum nanti hrus gendong dll. menurut saya event nya udah bgus tapi tidak dgn sistemnya",2
Tau ga permainan ini di desain untuk kalah bagi player solo. Bayangkan saja kita matching 10 kali tingkat kemenangan hanya 10%. Sebagus apapun kita main akan kalah smaa sistem Dark matching dari pihak Moonton,1
"gamenya sangat bagus, tapi kadang"" ketemu tim dark sistem",5
"Terlalu banyak player dark sistem, yang bot,tolol,kroco,beban tim dll. Kalo ktmu player kayak gini Mending pindah Ep epppppppppp",3
"ngebug dalam sinyal, padahal sinyal bagus kuota full",1
"Game nya bagus tapi aku sering di kasi tim dark sistem tolong yg seimbang donk monton kok aku doang yg dikasih tim dark sistem klo teman ku semua engga ,,,tolong di perbaiki juga sinyal suka ngelek klo lagi war itu saja komen dari saya semoga di baca oleh monton ,,,, trimakasih",5
"saya menemukan beberapa ke anehan menurut saya dalam moderank harus nya sulit karena musuh yang jago, bukan tim yang ga bisa main sebagai contoh saya pernah bertemu dengan player yang tidak bisa menggunakan retribt itu sangat tidak masuk akal seharus nya dengan rank mytik semua player mengetahui fungsi dari retri tapi entah kenapa saya bertemu player yang sama,tidak mengerti cara menggunakan retri saya harap devoloper bisa menambahkan fitur roller agar pemain bisa menggunakan roll yang di kuasai",3
"Seru bgt game nya, banyak tantangan, eventnya juga bagus²",5
Tidak untuk hp ram 4 . Hp ngebug patah² gak rekomed . Jaringan bagus game patah²,2
"game gak baik hanya bikin stres mending main game yang di sebelah (HOK),masa dari tadi di kasih tim dark sistem sama di kasih lose track 13 kali bikin stres nih game jangan di mainin",1
Download data permainan dan hero dan skin sangat menghabiskan data penyimpanan tolong diperbaiki skin apa yang mau di tampil soal aku gak bisa download data full habis penyimpanan hp ku,2
game agak aneh gajelas kadang tim lawan propalyer tapi tim sendiri kaya komputer,1
"Game nya bagus, namun kenapa sinyal nya sangat lag ya?, padahal sinyal saya bagus bagus aja, dan juga ketika sedang bermain game sering sekali frame drop, padahal handphone saya masih kuat bermain mobile legends di grafik high pada advance server, sedangkan ketika di server global, kenapa ketika bermain frame drop nya sangat berlebihan padahal grafik saya sudah diturunkan ke grafik low begitu juga dengan setingan lainnya sudah seminimal mungkin.",5
gatau emosi banget matchmaking ngga adil tim dikasih yg dibawah rata-rata musuhnya diatas rata-rata stress main berjam-jam bintang gak nambah malah ngurang!!,2
Yg gw sesal kan di game ini kbnyakn curang ga seperti bola ..klo di bola loe jago loe menang klo dsni loe jago loe bkal dapat tim ampas seterus nya gw udah prustasi nge rank stuck di gm terus karna gw player solo..gw kadang malu temen2 gw udh rank mytic ..sedangkan gw stuck di gm teruss..cuman satu permintaan jan kasih tim ampas terus menerus kapan naik nya klo gitu terus ok lah kalah sekali 2x ini masa lose terus sedangkan gw ga bodo2 amat,1
Gajelas sinyal bagus tapi muter mulu... Dah pake data ama wifi tetep ae,5
"Game nya bagus tapi kekurangan nya cuma moonton pelit dan bnyak dark sistem, semua temen ku mending milih ff dari pada game ini",1
"moonton kali ngasih lawan yang sportif plis, masa rank gua mitik digasih nya 4 lejen + mawi sih? gua heran sm lu moonton lama lama makin ga jelas ini game gua udh ls 10 lebih?? plis next update lawan nya yang setara ya moonton kecewa sih gua sm lu.",1
"Ml gua pas loading screen di tulis pengekstrakan kontam di awal, sampe skrg ga jadi''",1
terlalu mangkel moonton dan mengasih tim tidak waras sampe yang main hampir stress moonton kasih gw wins tream napa ngapain ngsih tim dekat sistem mulu cape gw naikin bintang udh gendong tim pula kasih lh uang serius jangn yang gk napa,1
"Perbaiki sistem report untuk bisa menghukum para troll yang merusak pengalaman bermain tim, harusnya hal seperti ini bisa lebih diketahui oleh developer namun sepertinya mereka tidak peduli. Permainan yang dipenuhi oleh hero dengan naik turunnya damage setiap update/patch, namun dengan hasil yang tidak konsisten. Bukan permainan yang baik untuk semua umur. sampai sekarang masih belum guna sistem reportnya",1
Geme paling keren dan sangat bagus disini juga saya bisa mendapatkan banyak kawan tapi tolong buat moonton kurangin lah drak sistem nya aku pengen glory itu saja salam defeat wassalamualaikum warahmatullahi wabarakatuh,5
"Kepada Moonton, tolong kenapa di hp saya tidak bisa melihat pp orang lain (kecuali pp yg biasa kaya hayabusa atau layla), dan saya tidak bisa melihat album orang lain termasuk album saya, tolong di benerin karena saya kurang terbiasa sama begituan",4
Enak banget main ini banyak banget mode nya tapi kalo bisa tambahin Hero yang spesial untuk ramadhan,5
Game nya sudah di racik menang beberapa kali kalah nya berkali kali tidak cocok bagi orang yang meresahkan stres,1
"Susah2 naikin kredit skor di brawl , afk bentar aja udah kena report lagi , gajelas lama lama capek , login cuma buat naikin kredit skor terus",1
"mengecewakan, gua ngestuck Mulu di master, udah dari 2024 ke 2025, disitu mulu, karena aku dapet tim nya yang ga bener, atau musuh yang udah lebih dari master, aku capek, kapan aku grandmaster? sedangkan aku aja main Mulu sampe jam 2 malam, cuma losetreak yang saya dapat, saya kecewa dengan game ini, apa saya pindah HOK?, soalnya game itu lebih bagus daripada game ini, moonton ga adil",2
"Game gak jelasss makin lama bug makin banyakkk jaringan baikkk tiba"" Jaringan ilang kyak di setting team biar kalah Bnyak drak sistem",1
"Matchmaking tidak adil dan playernya maksa padahal role nya udah keisi player lain kaya MM 2, jungler 2 kaya gitu moonton kalo gak segera di perbaikan maka player akan menghapus gamenya atau pindah ke game HOK",2
"bagus sih cuman skin and skill bahkan Hero""nya kurang unik",3
